=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -95.78 -100.85 -108.39 -108.53 -113.71 === -125.92 === -136.51 -141.69 === === === === === === -172.30 === -183.25 -187.28 -190.97 === === === === === === === === === -240.59 -244.30 -247.56 -255.71 -257.68 -264.67 -271.10 -271.75 -280.90 -281.11 -288.65 -292.71 -299.26 -304.54 -306.81 -310.47 -318.85 -323.37 -326.49 -331.62 -334.24 -339.40 -347.20 -351.53 -353.22 -358.80 -364.90 -371.15 -376.48 -378.06 -386.33 -389.54 -391.82 -397.00 -403.80 -408.38 === -416.26 -422.03 === -433.93 -438.55 -440.32 -448.13 -450.92 === === === -472.08 === === -483.43 -491.19 === === === === === -519.56 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -94.86 -101.11 -107.95 -109.10 -113.70 -121.09 === -130.47 -133.56 === -142.13 -148.14 === === === === === === === -187.49 -193.86 -194.88 === === === === === === === === === === -250.15 -256.55 -260.71 -264.12 -267.80 -271.57 -276.05 -283.68 -289.09 -291.29 -300.00 -303.86 -305.11 -314.09 -315.30 -323.31 -326.30 -331.29 -338.45 -343.16 -343.98 -351.24 -353.19 -359.30 -367.03 -367.38 -372.83 -379.28 -381.81 -387.23 -391.41 -398.62 === -409.81 === === -423.51 -429.59 === -438.36 -443.49 === === -456.15 === === -469.60 -475.18 -479.43 -486.09 === === === === === === -518.67 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -97.35 -101.40 -103.43 -109.04 -117.37 -121.39 -123.75 === -132.36 === === === -152.35 === === === -174.16 -177.24 === === === -196.16 -202.30 === === === === === === === === === -250.66 -253.56 -258.30 -265.42 -268.11 -273.24 -280.08 -281.59 -285.75 -292.72 -296.28 -300.90 -308.96 -312.94 -316.39 -320.75 -324.20 -332.42 -336.84 -338.41 -347.89 -348.68 -356.84 -359.63 -364.94 -370.14 -375.70 -377.26 -386.34 -390.00 -393.72 === -401.35 -407.82 -413.98 -418.15 === -425.97 -430.10 -438.00 -443.91 -446.06 -448.94 === === -466.79 -469.99 -473.99 -477.99 -483.62 -488.68 -494.79 === === === -511.42 -517.99 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -94.88 -102.92 -104.23 -109.72 === === === === === === === -147.06 === === -163.34 === === === === -185.59 === === -201.61 -206.69 === === === === === === === === === -256.68 -258.31 -261.94 -267.81 -274.80 -280.54 -283.23 -286.77 -294.26 -299.87 -302.85 -309.33 -313.05 -318.78 -319.57 -326.35 -330.63 -336.39 -338.57 -347.53 -350.18 -357.44 -359.03 -364.74 -371.17 -372.48 -380.28 -383.41 -390.72 -393.00 -399.95 -404.51 === -410.80 === === -424.90 -429.85 === -443.94 -445.72 -449.64 === -459.64 === -470.88 -477.27 -481.66 -487.19 -490.53 === === === === === -517.91 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -98.64 === -108.49 -111.37 === === === === === === === -150.46 === === -165.68 -167.16 === -178.76 === === === === === === === === === === === === === === === === === -265.63 -270.04 -275.28 -280.13 -281.03 -290.31 -294.88 -297.89 -303.93 -307.52 -313.78 -315.88 -320.00 -325.26 -333.36 -337.09 -341.36 -347.00 -350.36 -355.37 -361.63 -366.71 -369.11 -376.19 -379.20 -386.54 -389.00 -395.37 -398.29 -402.76 -407.23 -411.54 -416.35 -421.21 === -432.09 -435.36 -441.42 === -450.00 === === -465.05 -469.11 === === -486.10 === === -498.21 -503.93 === === -518.95 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -98.99 === -108.52 -113.36 -116.26 === === === === === === === === === === === -172.01 -176.99 -181.54 === === === === === === -218.73 -223.71 === === === === === === === === === -269.94 -272.20 -278.93 -285.14 -288.80 -294.07 -298.10 -302.25 === === -318.66 -323.36 === === === -340.32 === -352.11 -357.54 -361.62 -367.00 -372.00 -372.49 -377.94 -386.24 -388.36 -394.98 -397.13 -405.16 -409.74 -413.35 -419.13 -424.47 -429.57 === -438.53 -443.01 -448.04 -449.44 -456.08 -462.19 -466.07 -468.63 === -478.63 -485.51 -490.86 -492.74 === === === === -519.79 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -99.60 === === -111.54 -118.96 -122.10 === === === === === === === -157.37 === -170.21 === === -183.72 -188.53 === === === === === === === === === === === === === === === === === === -278.12 -284.14 -287.64 -293.36 -296.35 -304.43 -306.86 -312.95 -317.11 -323.87 -325.64 -333.18 -335.17 === -347.61 -349.41 -353.49 === -367.20 === -374.45 -377.62 -383.74 -389.27 -395.88 -400.98 -402.34 -410.12 -411.34 -417.23 -424.90 === === -438.68 -444.45 -447.37 === -454.71 -461.93 -467.87 -469.54 === === === === === -500.61 === === === -520.39 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -99.93 === === === -120.31 -122.62 === === === === === -150.17 -154.57 === -166.26 -171.73 -174.99 -181.13 === === -193.92 -196.06 === === === === === === === === === === === === === === === === === -286.28 -289.32 -295.80 -296.16 -305.14 -307.67 -314.66 -315.59 -324.87 -324.88 === -336.58 -339.57 -346.64 === === -360.96 -364.16 -372.76 -376.18 -378.83 -382.29 -391.63 === -400.02 -404.39 -410.24 -414.44 -418.59 -424.42 -426.71 -433.70 === === -445.21 -453.45 -458.17 -459.34 -464.06 -472.96 -477.00 === -486.94 -492.00 === -499.93 === === === -518.35 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -101.67 === === === -117.07 -124.53 -128.90 === === === === === === -159.33 === -172.83 === === === === -194.01 -196.83 === === === === === === -234.34 -235.30 === === === === === === === === === === -291.37 -293.43 -299.06 -303.80 === -315.32 === -323.36 -329.90 === -335.58 === === -351.08 -355.30 -362.79 -363.88 -371.69 -373.94 -381.53 -384.05 -387.85 -393.74 -398.00 -404.77 -408.71 -414.36 === -423.97 === === -437.25 === === -452.47 -458.08 -463.35 -466.88 -468.98 -476.07 -482.17 -486.66 -490.90 === === === -509.23 === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -103.07 === === === === -125.09 -127.10 -131.98 === === === === === === === === -175.66 -181.48 === -192.29 === === -204.87 === === === === === === === === -249.25 -249.96 === === === === === === === === -295.36 -299.43 === === === === -322.54 -327.22 -331.54 -336.33 === -344.87 -353.34 -355.48 -363.81 === === === -379.58 -386.00 -392.61 -393.87 -401.92 -404.04 -409.14 -414.74 -420.76 -423.91 -428.96 -433.38 -439.44 -442.64 -447.09 -451.91 -456.35 -461.89 -468.91 -471.93 -477.93 === -483.65 === -496.13 === === -510.29 === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -119.24 -127.31 -130.71 -133.53 === -145.97 === === === === === -171.70 -175.02 -182.05 === === -197.19 -199.74 === === === === === === === -239.87 === -247.39 -253.89 === === === === === === === === === -299.87 -302.95 === === === -322.70 -327.13 === -337.43 -343.73 === -352.98 -358.00 -362.57 -365.74 -372.36 -376.70 -383.70 -387.49 -390.55 === -401.27 -405.42 -411.76 -416.07 -418.81 -424.91 -429.37 -435.20 -436.54 -445.70 -449.09 -454.75 -459.85 === -467.29 -471.39 -477.44 -482.34 === -489.32 === === === === === -519.44 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -125.31 -125.95 -134.49 -136.20 -141.64 -144.59 -152.16 === -161.26 === === === === === -188.99 -192.41 === === === === === === === === === === === === -255.65 -259.85 -262.52 === === === === === === === -302.65 -304.00 -312.17 === === === -331.00 -332.79 === === -348.30 === === -363.26 -365.81 -374.08 -377.74 -382.17 -386.95 -391.64 -396.81 -399.28 -407.15 -411.18 === -422.21 -424.01 -431.36 -436.69 -440.87 === -448.61 -451.34 -457.56 === -469.35 -471.34 -478.52 === -485.57 === -495.47 === === === === -519.77 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -124.05 -128.35 -135.29 -137.88 -143.14 -149.52 -154.08 -155.69 === === === === === === === === === === === -212.60 -216.87 === === === -233.45 === === === === -260.76 -263.30 -267.68 === === === === === === -302.89 === === === === === === === -337.73 -344.43 -348.61 -352.64 -357.17 === -368.69 -373.94 -376.92 -384.20 -385.61 -390.14 -394.40 -403.51 -407.76 -412.76 -414.46 -419.47 === === -434.52 -440.20 -442.36 -446.64 === -460.76 === -469.60 -472.22 -478.16 === === === === === === === === -519.90 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -131.62 -134.55 -141.72 -144.49 -146.27 -155.21 -156.04 === === === === === === === === === === === === === -220.83 === -232.18 === === === === === === === -269.73 -275.18 === === === === -298.72 -300.41 === -313.81 === === === === === -340.65 -345.08 -348.56 -354.57 === -363.86 -369.90 -373.84 -377.22 -384.49 -385.99 -394.44 -395.75 -404.21 -407.40 -412.43 -417.39 -418.84 -425.39 -431.32 -432.86 === -443.84 -448.90 -455.88 -458.51 -461.83 -467.87 -472.53 -478.69 === === === === === === === === -522.64 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -115.39 === === === === -138.79 -141.03 -145.87 -151.83 -152.71 -157.71 === === === === === === === === === === === === === === -230.27 === === === === === === === === -270.27 -275.26 -278.39 -281.83 -289.78 -294.47 -296.70 -301.43 === === === === -325.87 === === === -345.36 -352.18 -353.27 -359.74 -365.47 === === -380.47 -385.36 -387.15 -392.79 -396.78 -403.01 -406.20 -414.06 -418.12 -420.07 -424.07 -429.69 -434.79 === -446.70 -450.14 === === === -471.10 -473.19 -480.63 -481.52 -487.92 -493.35 === === === === === -522.74 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -140.51 -144.24 -148.24 -153.57 -155.60 -162.70 === === === === === === === === === === === === === === === === === === === === -257.72 === === === === === -285.92 -290.57 -292.40 === === === === === === === -332.61 === === -347.35 -349.49 -357.43 -359.69 -367.49 -369.09 -373.11 -377.79 -384.16 -389.20 -392.01 -400.57 -401.68 -408.43 -414.81 -418.90 -419.96 -424.50 -429.58 -436.26 === -446.58 === -456.49 === -466.24 === -474.25 -479.09 -485.85 -487.43 -496.01 === -503.20 === === -519.03 -523.87 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -122.66 === === === === -142.15 -145.32 -150.13 -156.44 -159.21 -163.65 -169.17 === === === === === === === === === === === === === === === === === === -255.12 -256.83 === === === === === === === === -299.40 === === === === === === === === -343.45 -345.41 -354.77 -358.38 -363.40 -368.50 -370.34 -375.55 -379.58 -386.82 -388.27 -393.24 -400.01 -404.96 -409.71 -414.18 -416.65 -423.07 -425.69 -433.52 -439.65 -441.97 -445.01 -450.10 === -462.89 -464.75 -470.90 -476.57 -478.24 === === -495.35 === === === === === -522.11 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -123.59 === === === === -143.36 -147.40 -150.29 -159.59 -162.50 -164.43 -170.55 -173.64 -175.87 === === === === === -205.13 === === -219.99 === -228.43 === === === === === === === === === === === === === === === === === === === === === === === -339.00 -345.04 -347.26 -353.91 -357.22 -362.91 -368.80 -373.52 -377.35 -383.00 -387.69 -392.44 -394.06 -399.51 -404.86 -408.72 -415.63 === -423.88 -428.03 === -439.11 -443.44 -447.70 -450.76 -454.89 -459.67 -464.69 -469.34 -476.11 -483.01 -484.35 === === -500.55 === === -515.71 === -524.60 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -128.21 === === === === === === -152.31 -156.70 -163.70 -169.01 -170.44 -175.84 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -327.69 -332.09 === -341.08 -345.19 -349.88 -352.69 -357.52 -363.81 -366.46 -372.98 -378.32 -381.71 -389.15 -391.60 -394.81 -398.72 -404.55 -411.50 -414.44 === -426.83 === === -439.90 -444.95 -448.05 -452.11 === === === === -476.57 -480.26 -483.59 === === === === === === === -523.22 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -131.69 -132.97 -136.22 === === === -153.75 -158.04 -162.98 -164.79 -168.02 -172.45 -179.48 -180.86 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -323.30 === -333.12 -335.24 -343.32 -345.12 -350.75 -353.29 -357.92 === === -375.24 -375.92 -384.52 === -390.00 === === === === -417.65 === === === === -439.09 -442.46 === -454.27 -457.88 -462.28 === -472.26 -475.97 -482.40 === -490.16 === -500.71 -507.18 === === === -525.74 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -134.67 -134.99 -137.82 === === === === -160.35 -166.14 -169.76 -170.80 -177.70 -180.03 === -187.35 === -196.31 === === === === === === === === === === === === === === === === === === === === === === === === === === === -323.51 === === -335.57 === -348.06 -350.59 === === === === === -379.74 === === -395.79 -398.87 === === === === === === === -435.42 -438.20 === === -454.16 -458.50 -462.02 -467.85 -475.72 -475.87 -482.37 -489.81 === === === === === === === -525.64 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -135.33 -138.21 === -147.97 === -155.91 === -163.92 === -172.49 -174.13 === -182.46 === === === === === === === === === === === === === === === === === === === === === === === === === === -301.27 === === === === -327.03 -329.00 -337.02 -339.75 -341.63 -345.89 -354.23 -355.60 === -365.29 === === === === === -395.91 -400.78 === === === === === === === === === -448.80 === -456.49 -461.30 -466.35 -471.21 -475.07 === -481.58 -488.96 -492.27 === === === === === === -527.01 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -143.40 -146.29 -149.28 -155.18 -156.65 === -164.54 -170.18 -173.90 -175.74 === === === === === === === === === === === === -234.15 === === === -248.37 === -260.63 -264.15 -268.42 -272.71 -274.80 -281.35 -286.12 -290.03 -297.04 -298.69 -304.93 -306.92 -311.70 -318.04 -319.99 -326.32 -328.82 -337.46 -341.36 -343.05 -347.00 -351.75 -358.46 -363.57 -368.93 -371.34 -379.04 -381.09 -385.11 -393.60 -395.13 -401.09 -404.47 -408.49 -416.08 === === === -433.41 === === === === === === === -469.42 === -477.88 -485.00 === -495.59 === === -510.08 === === === -525.19 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -412.89 -413.17 -419.63 === === === === === === -451.49 -456.75 === -467.83 -471.20 === -480.11 === === === -500.94 -506.71 === === === === -529.43 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -417.19 -419.00 === === === === === -447.96 === === === -465.73 -471.58 -475.15 -484.75 -484.61 -492.47 -497.55 -502.02 -504.44 -508.96 === === === -528.83 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -421.88 === === === === === === === -458.76 -463.55 -467.82 -473.21 -476.69 -485.00 -489.79 -491.50 -496.33 -503.32 -503.87 -511.75 === === -522.71 -530.40 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -424.37 === === === === === === === -462.65 -466.50 === -475.64 -477.50 -483.16 -490.91 -495.40 -500.17 === -506.19 -511.32 -515.70 === === -531.89 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -426.07 === === -440.53 === -450.21 === === -464.06 === === === === -487.36 -488.42 -494.62 -499.44 === === === -519.65 -522.48 === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -424.32 -424.86 === === === === -447.12 === === === === === === -481.62 -485.67 -492.40 -497.37 -500.70 -506.25 === -514.60 === -521.60 -529.29 -533.25 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -304.68 -309.03 -312.90 -317.30 -322.29 -326.65 -328.68 -334.51 -336.66 -342.29 -345.04 -354.06 -358.20 -359.31 -365.64 -368.63 -372.44 === -383.76 -389.18 -391.80 -397.26 === -404.74 === === -420.85 === === === === === -447.22 === === === === === -475.51 -479.27 -485.70 -485.47 -490.73 -496.64 === -507.41 === === -521.63 === -527.35 -532.71 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -304.64 -307.74 -314.93 -315.83 -319.29 -327.55 -328.53 -333.80 -338.97 -345.79 -346.18 -352.62 -355.75 -359.84 -363.76 === === === === === === === === === === === === === === === === === -450.00 -452.35 === -462.98 === === === -482.10 -483.77 -490.86 -492.50 -497.32 -502.07 === === === -522.10 === === -535.29 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -309.30 === === -325.25 === === === === === === === === === === === -379.00 === === === === === === === === === === === === === === === === === === === -469.62 -470.88 -476.39 -481.36 -485.19 -488.26 -495.59 -499.22 === === === === === === === -538.09 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -313.74 -315.80 === -325.12 === === === === === === === === === === === === === === === -394.92 -403.86 === === === === === === === -435.37 === === === -457.31 === -466.27 === -476.25 -477.17 -481.58 -486.56 -491.35 -495.10 -503.36 -504.78 === -513.71 === === === === -538.24 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -318.13 -319.48 === === === === === === === === === === === === === === === === -391.69 === === === === === -419.87 -426.43 === -436.62 === === === === -458.36 -459.87 -467.90 === -473.96 -481.76 -486.82 -487.13 -494.27 === === -507.80 === === === -525.43 === -535.80 -538.98 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -323.47 -325.07 === === -340.03 -346.42 -349.48 === -356.49 -360.10 === === === === === === === === -400.58 === === === === -419.62 === === === -442.87 === === === -459.56 -460.55 -468.43 -471.85 -478.78 -479.14 -485.22 -491.44 -496.93 === -505.29 === === === -523.46 -527.63 -532.06 -534.82 -538.08 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -328.76 === === === === === === === === -367.60 -370.81 -375.53 === === === === -395.78 === === === === -421.46 === === === === === === === === === === === === -479.78 -481.24 === -491.72 -495.68 === === === === === === -528.37 -532.69 -534.78 === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -333.54 -333.74 === === === -354.41 === === -364.99 === === === === === -393.23 === === === === === === === -427.33 === === === -441.80 === -452.15 === -460.37 -467.25 -469.79 -476.34 === === -487.14 -490.42 === === === === === === -523.56 -527.33 === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -333.81 -338.81 -341.20 -347.08 -352.41 === === -364.72 -367.95 -371.32 -375.03 -377.73 === -389.45 -391.00 === -401.09 === === === -417.41 === === === === === === -451.60 -455.84 === -464.70 -466.92 -471.39 -475.86 -481.54 === === -496.47 === === === === === -523.77 === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -340.74 -341.63 === -353.83 -356.66 -362.06 -364.26 -370.49 === === -381.23 === === -395.95 === === -407.74 === === -419.63 -427.96 === === -438.22 === -448.22 -453.60 -458.25 -460.72 -467.10 -469.59 -474.20 -480.26 === === === === === === === === -519.90 -521.21 === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -345.83 -350.09 === -356.72 -363.18 -367.51 -371.82 === === === -385.60 -390.21 === === === === -415.68 -419.14 === === -432.80 === === === -447.62 === -457.45 -460.51 -468.01 -471.86 === === -483.11 === === === === === -512.94 === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -350.19 -355.10 -356.49 -363.81 -368.18 -367.21 -375.28 -377.68 -381.84 -384.81 === -395.40 -400.04 -403.77 -406.77 -412.24 === -419.99 === -431.37 -433.95 === === -445.75 === -454.68 -459.05 -464.84 -468.06 -474.21 -478.80 === -485.82 === === === === -509.66 === -516.92 === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -355.92 === === -366.73 -372.65 -374.20 -381.07 === -388.32 -394.12 === -399.87 -406.24 === === === === === === -435.62 -440.42 === === === -457.85 -460.73 -465.65 -469.56 -473.63 -479.00 -483.31 === === === === === === === === === === === === === === === === === === 
