=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === -129.05 === -141.04 -142.27 === === === === === === === === -191.34 -194.64 === === === -213.90 === === === === === === === === === === === === === === === -302.93 === === === -325.57 === === -342.80 === -353.61 -357.93 === -367.66 === === === === === === -409.55 -414.09 === -426.83 -432.43 -436.37 -439.75 === === === === === -475.83 -479.10 === === === === === === -522.70 -526.34 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === -131.76 -140.81 -141.41 === === === === === === === === === === -197.61 -200.13 === === === === === === === === === === === === === === === === === === === === === === === === === === -349.55 -354.38 -356.63 -362.16 === -378.15 === === === -396.78 === -411.45 -412.52 -421.22 -426.75 === -434.69 -444.99 === -456.00 === === === === -482.37 -485.66 -491.88 === -502.27 -512.55 === -523.40 -527.17 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === -135.42 -143.51 -145.18 === === === === === === === === === === === -204.63 === === === === === === === === === === === === === === === === === === === -312.32 === -323.89 === -332.15 === === === === -362.35 -363.90 -371.65 === === === === -397.20 -404.48 -410.19 -413.01 === === -431.13 -439.81 -442.89 === === === === === === === -488.96 === === === === === -524.87 -525.30 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === -142.40 -142.92 -150.45 -151.45 -157.19 === -167.40 === === === === === -195.05 === === === -216.58 -221.66 === -232.95 -239.37 -241.34 -246.47 === === -262.80 === === -282.16 -287.23 -293.46 -294.89 -300.23 -308.81 -313.42 -316.53 -320.70 -327.34 -333.49 -341.79 -346.17 -351.09 -355.08 -362.06 -365.08 -370.55 -378.49 -381.75 -391.03 -397.63 -400.88 -406.62 -412.50 === -420.89 -430.01 -431.78 === -443.69 === === === === === === === === -495.01 === -504.19 === === === -528.78 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -414.30 -418.21 -424.97 -428.67 -432.84 -438.81 === -450.03 === === === === === === === === === -508.03 === === -527.57 -529.79 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -418.89 -425.97 -428.25 -438.76 === === === === === === === === === === === === -508.96 === === === -530.30 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -424.06 -426.51 -432.63 === -442.87 -448.91 === === === === === === === === -499.36 === === === === === -531.27 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -422.33 -427.68 -433.72 -437.80 === === === === -464.15 === === === === === === === === === === === -530.87 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -421.93 -423.93 -431.59 === === -448.06 === -457.71 -464.56 === === -480.76 === === === === === === -521.11 === -529.29 -532.71 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -255.12 === === === -271.30 === === === === === -302.85 -310.88 -313.00 -318.76 -322.58 -331.90 -334.04 -341.21 -346.45 === === -361.66 === -373.10 -378.25 === -386.51 -395.47 === === -407.77 -414.89 -422.75 === -431.14 === === -449.28 === === === === -474.57 === === === === === === === === === === -536.13 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -276.12 === === === === === -308.21 === -317.47 === === === === === === === === === === === === === === === === === === === === === === === === -449.57 === === === === === === === === === === === === === === === -537.44 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -315.46 === -323.56 === === -340.32 === === === === === === === === === === === === === === === === === === === === === === === === -472.06 === === === === === === === === === === === -538.75 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -287.49 === === === === === -318.55 -319.80 === -331.73 === === === === === === === === === === === === === -408.45 === === === === === === === -448.93 === === === === === === === === === === === === -518.21 === === -538.61 -538.98 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -293.62 === === === === === === === === === === === === -355.51 === === -369.82 === === === === === === -405.73 === === === === === === === === === === === === === === === === === === === === === === -530.72 -536.07 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -329.43 -329.32 === === === === === === === === === === === === === === -411.47 -417.28 === === === === === === === === === === === === === === === === === === === === -526.86 -531.37 === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -334.25 === === === === === -365.58 -371.02 === === === === === === === === -417.33 -420.59 === === === === === === === === === === === === === === === === === === -525.57 === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -386.55 === === === === -414.31 === === === === === === === === === === === === === === === === === === === -521.58 === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -421.58 === === === === === === === === === -475.08 === === === === === === === -516.60 === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -325.68 === === === === === === === === === === === === === -395.08 === === === === === === -430.66 === === === -450.31 === === === === === === === === === === === -511.65 -516.39 === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -509.50 === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -367.41 === === === === === -394.53 === === === === === === === -433.91 -440.82 === === === === === === === === === === === -500.97 -504.45 === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -338.16 === === === === === === -370.48 === === === === -397.55 === === === === === === === === -441.17 === -452.11 === === === -471.21 === -483.43 === === -499.55 -501.57 === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -372.01 === -380.44 === === === === === === === === === === === === === === === === -465.40 === === === -486.35 -491.54 -494.17 === === === === === === === === === === === === === === 
