=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === -91.63 === === === === === -118.13 -121.79 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -390.60 === === === === === === === === === === -456.49 === === === === === === === === === === -523.81 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === -122.90 -124.34 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -428.69 === -443.21 -445.80 === === -466.77 === -475.90 === === === === === === === -523.41 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === -129.11 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -444.52 === -452.05 === === -469.34 === === === -493.39 === === === -516.89 -523.85 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === -131.04 -130.70 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -470.25 -479.10 -485.37 === === === === === === -523.96 === === 
=== === === === === === === === === === === === === -88.88 === === === === === === === === === === === === === -134.39 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -482.37 === === === === === === -524.92 === === 
=== === === === === === === === === === === -95.19 === === === === === === === === === === === === === === === === -140.07 === === === === === === === === === === === === === -211.37 === === -227.28 -231.18 -237.63 -243.29 -247.77 === === -265.20 === === === === === === === === === === === === -338.46 === -349.50 -360.17 === -371.53 -377.56 === -387.86 === === === === === === === === === -443.77 === === === === === === -487.82 -488.96 === -501.34 -509.98 === === -527.86 === === 
=== === === === === === === === === === === === -98.86 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -213.48 === -221.97 -230.73 -232.35 -240.92 === -251.30 === -264.21 === -271.87 -281.23 -282.26 === === === === === -318.82 === -327.55 -335.88 -343.13 -346.36 -355.60 === === === === -379.04 -385.35 === === === -412.00 === === === === === === === === === === === === === === === -504.97 -510.13 === === -527.96 === === 
=== === === === === === === === === === -106.51 -103.81 === -106.90 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -420.35 -421.83 === -435.81 === === === === === === === === === === === === -513.17 === === -529.61 === === 
=== === === === === === === === === === -112.82 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -422.24 -424.22 === === === === === === === === -479.57 === === === === === === -518.80 === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -425.12 -426.13 === === === === === === === === === === === === === -506.85 -515.57 -522.48 === -530.75 === === 
=== === === === === === === -127.21 -123.51 === === -120.67 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -423.46 === === === === === === === === -476.55 === === -492.74 === === -512.58 -514.07 === -529.29 -533.25 === === 
=== === === === === === -133.49 -130.33 -129.19 === === === === === === === === === === === === === === === === === === -165.06 === === === === === === === === === === === === === === === === === -246.20 === === -260.61 -265.93 -269.10 === === === === === -302.50 -306.63 -312.70 -317.82 -326.45 -329.00 -337.87 -341.93 -346.74 -350.63 -359.98 -363.82 -371.65 -373.47 -377.89 -383.14 === === === -409.29 -413.84 -421.15 === === === === === === === === === === === === === -496.60 -506.26 -509.09 -514.97 -520.61 -528.86 -532.71 === === 
=== === === === -141.37 === -139.16 -136.11 === === === === === === === === === === === === === === === === === === === -166.02 -168.91 === === === === === === === === === === === === === === -238.39 -239.05 -246.97 -250.37 === === === -270.72 -276.85 === === === === -304.88 -309.41 -315.68 -319.03 -323.99 -332.62 -335.50 -344.33 -346.11 -350.80 -360.80 -362.43 -368.24 === === === === === -401.66 === -415.80 === === === === === === === === === === === === === -495.41 === === === === === === -537.24 === === 
=== === === === -147.69 === -141.49 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -251.35 === === === === === -281.49 === === === === -308.81 -309.14 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -494.35 === === === -515.37 === === === -534.96 === === 
=== === === === -154.71 -149.47 -152.00 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -251.31 === === === === === -282.09 === === === === === -318.61 -318.74 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -513.25 === === === -536.35 -540.01 === === 
=== === === === === === === === === === === === === === === -157.43 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -287.90 -289.47 === === === === === -320.14 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -531.58 -537.18 -538.61 === === 
=== === === === === === === -161.51 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -294.88 -299.32 === === === === -328.71 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -512.80 === -528.40 -531.37 -534.29 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -302.91 === === === === === -332.66 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -508.12 -506.97 === -522.86 -525.39 === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -309.27 -310.81 === === === === -339.51 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -506.93 -510.76 -518.68 === === === === === === === 
=== === === === -177.90 -178.52 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -317.29 -319.00 === === === === -346.02 === === === === === === === === === === === === === === -425.14 -431.47 === === === === === === === -477.34 === === === === === -511.50 -516.99 -518.64 === === === === === === === 
=== === === === === -184.68 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -272.15 === === === === === === === === === -320.32 -320.49 === === === === -350.47 -354.27 === === === === === === === === === === === === === === === === === === === === === === === === === === === -506.68 -510.45 -515.74 === === === === === === === === 
