=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -113.60 -117.92 -121.16 -125.53 -129.37 === -141.59 -147.93 -147.79 -153.81 -158.87 -163.19 -169.95 -176.02 -178.46 -187.49 -188.91 -194.25 -199.86 -205.37 -212.16 -216.48 -219.47 -222.22 -232.11 -233.52 -242.10 -243.53 -251.00 -257.90 -258.66 === === === === === === -297.82 -304.04 -308.39 -313.34 -316.89 -323.14 -326.63 -332.52 -336.94 === === === -356.60 -362.16 === -373.50 === -385.44 === -395.61 === -402.67 -410.47 -415.35 -419.00 === === -435.93 === -447.70 -454.12 === -460.57 === === === === === === === === === === -519.50 -522.32 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -116.01 -119.92 -124.98 -129.30 -134.98 -137.32 -145.25 -148.61 -151.97 -155.35 -162.23 -167.18 -171.81 -178.08 -180.06 -186.43 -188.17 -196.95 -202.54 -208.05 -212.38 -215.18 -220.83 -227.01 -232.19 -235.44 -241.33 -245.78 -253.58 -255.80 -263.57 === === === -285.25 -287.55 -295.37 -298.44 -305.19 -305.96 -315.95 -319.04 -326.31 -329.23 -332.51 -340.13 === === === === === === -374.79 -377.99 -386.49 -388.75 -397.52 === -404.68 === -418.34 === -428.09 -429.92 === -440.93 === -450.14 -456.22 === -467.85 === === === -486.14 === === === === === -522.01 -522.13 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -118.15 -120.97 -126.73 -134.07 -135.45 -140.74 -146.54 -148.07 -151.72 -161.18 -164.86 -167.30 -173.04 -176.82 -183.94 -187.30 -189.98 -198.55 === === -212.95 -218.83 -223.33 -226.78 -234.07 -235.87 -243.10 -249.98 -252.40 -256.01 -263.04 -267.16 -273.29 -278.80 -284.68 -287.91 -293.00 -297.72 -305.34 -310.22 -312.71 -321.04 -321.49 -327.35 -333.79 === === -348.43 -355.84 -360.11 -363.82 -369.80 === === === === === -402.57 -409.38 -412.36 === === === === === === === === -456.49 -463.00 -467.43 === === -484.47 -488.92 === === === === === === -523.70 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -120.95 -124.89 -126.03 -134.65 -140.14 -143.78 -149.26 -149.36 -155.74 -158.99 -165.60 -168.77 === === -185.85 === === === === === === -221.22 -222.03 -228.92 -231.22 -236.82 -244.83 -251.64 -252.42 -258.55 === === -275.05 -278.45 -285.94 -290.58 -293.89 -298.86 -304.47 -310.96 -317.44 -319.09 === === -332.84 === -347.68 === -355.18 === -364.40 === === -383.22 === === === === -405.78 === === === === === === === === === === === === -472.02 === === === === === === === === -522.19 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -124.55 -129.18 -132.50 -134.41 -142.89 -145.14 -150.96 -152.78 -159.11 -163.22 === === === === === === === === === === === === === -232.76 -236.20 -239.34 === -251.56 === === === === === === === === === === === -313.20 -315.57 -323.60 === === === === === === === === === === === === -386.24 === === === === -411.28 -417.68 === === === === === -450.21 -453.69 -459.32 === -469.34 === -479.15 === === === === === === === === -524.39 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -128.33 -131.85 -134.53 -139.89 -142.86 -145.16 -154.22 -154.25 -158.64 === === === === === === === === === === === === === === === === -239.83 -247.55 -250.59 === === === === === === === === === -302.62 -308.67 === === === === === === === === -354.90 -360.53 === === -375.78 === === === === === === === === === === === === === === === === === -467.53 -470.64 === === === === -494.00 === === === === -522.77 -525.69 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -130.19 -132.94 -136.58 -142.01 -144.60 -150.87 -154.78 -160.58 -163.05 === === === === === === === === === === === === === === === === -244.08 -247.82 -255.73 -258.38 === -266.87 === === === === === -298.47 === === === -318.72 === === === -339.46 === === === === === === === === === === -392.94 === === === === === === -429.82 === === === === === === === -469.07 === -482.37 === === === -500.62 === === === -525.43 -525.87 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -136.05 -138.43 -141.95 -148.28 -148.10 -151.71 -155.16 -163.12 -165.27 === === === === === === === === === === === === === === === === === === === === === === === === -287.42 === === === === === === === === === === === === === === === === === === === === === === === === === === === -428.26 === === === === -453.85 === === -468.72 -471.02 === === -488.96 === -500.02 === === === === -526.57 -527.21 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -135.94 -140.32 -144.61 -148.60 -153.09 -156.52 -158.65 -165.33 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -301.61 -305.03 -310.76 === -322.57 -328.58 === === === -346.37 -352.30 === -361.62 === === -379.22 === -389.00 === === === === === === === === === === === === === === === -469.53 -471.53 === === === -495.59 -500.12 === -511.76 === === -525.30 -528.58 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -142.28 -147.65 -151.79 -155.28 -156.26 -161.71 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -310.18 -313.08 -315.43 -323.36 === === -337.65 -341.01 -348.18 === === === === === -376.78 === === === -398.51 === === -412.46 === === === === === === === === === === -471.16 === === === === -497.73 === -503.55 -508.75 === === -527.17 -529.38 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -416.53 -419.36 === === -434.71 === === === === === === -470.05 === === === === === === === -514.06 === -519.63 -529.00 -530.34 === === 
