## Generation 0 
{'dist_obj': -523.9575789413692, 'exit_reached': 0.0, 'robot_pos': [145.13909912109375, 576.9940795898438, 1.1853982210159302], 'collision': 10}
{'dist_obj': -350.1533519112904, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'exit_reached': 0.0, 'collision': 10}
{'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423], 'collision': 0}
{'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423], 'collision': 0}
{'dist_obj': -407.43551160024015, 'exit_reached': 0.0, 'robot_pos': [18.7618408203125, 465.34320068359375, 2.785398244857788], 'collision': 10}
{'dist_obj': -393.7858183352774, 'exit_reached': 0.0, 'robot_pos': [282.09246826171875, 385.1802673339844, -0.8146018385887146], 'collision': 10}
{'dist_obj': -393.7858183352774, 'exit_reached': 0.0, 'robot_pos': [282.09246826171875, 385.1802673339844, -0.8146018385887146], 'collision': 10}
{'dist_obj': -528.1804849789296, 'robot_pos': [153.0498809814453, 579.9195556640625, 1.5853981971740723], 'exit_reached': 0.0, 'collision': 10}
{'dist_obj': -350.1533519112904, 'exit_reached': 0.0, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'collision': 10}
{'dist_obj': -315.1138900286123, 'exit_reached': 0.0, 'robot_pos': [18.001426696777344, 372.30255126953125, -2.091352701187134], 'collision': 10}
{'dist_obj': -390.0, 'exit_reached': 0.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385], 'collision': 0}
{'dist_obj': -390.0, 'robot_pos': [60.0, 450.0, -2.8146021366119385], 'exit_reached': 0.0, 'collision': 0}
