=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === -223.75 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -345.17 === === === === === === -393.85 -398.57 -402.77 -417.29 -427.47 -432.50 === -445.04 -452.31 -467.48 -471.32 -483.43 -485.61 -490.15 === === === -531.57 -534.88 === === -565.49 === 
=== === === -229.65 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -325.71 -333.65 === -344.63 === === === === === === -395.94 -404.48 === -413.86 -422.29 === -446.32 -451.57 -456.24 -470.04 -471.01 -482.98 === === === === -524.53 -530.42 === === === -568.22 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -349.75 -359.09 === === === === === === -410.11 -414.25 === -432.21 === -445.29 -457.87 -458.23 -467.56 -476.25 === === === === === -526.25 === === === === -573.33 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -416.21 -417.54 === === === -452.76 -462.78 -467.72 -474.18 === === === -513.53 -519.09 === === === === === === -578.57 === 
=== === === -258.83 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -430.04 -433.88 === === === -467.18 -470.98 === === === === === === === === === === === === -580.34 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -444.37 -446.31 === === -471.33 -477.73 -481.92 -493.87 === -508.76 === === === === === === === === -583.29 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -378.96 -383.32 === === === === === === === === -448.84 -456.78 === === === -485.26 -491.92 -493.79 === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -397.03 === === === === -435.89 === === === -453.80 === === === === === === === === === === === === === === === === -593.52 === 
=== === === === === === === === === === === === === === === === -306.67 === === === === === === === === === === === === === === === === === === === -397.08 -405.91 === === === === === === === === -467.05 -471.74 === === -495.16 === === === === === === === === === === === === -599.84 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -408.36 -410.39 === === === === === === === === === -476.12 === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -483.86 === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -431.25 -427.51 === === === === === === === === === -499.63 === === === === === === === === === === === === === === -611.67 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -438.84 === === === === === === === === -506.24 -510.51 === === === === === === === === === === === === === -618.60 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -445.31 -452.23 -457.12 === === === === === === === === -517.46 === === === -547.19 === === === === === === === === === === === 
=== === === === === === === === === -348.72 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -465.69 === === === === === === === === -523.01 -529.37 === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -470.19 === === === === === === === === === -539.81 -540.75 === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -485.92 === === === === === === === === === -552.25 === === === === === === === === === === === -638.72 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -490.94 -495.21 === === === === === === === === -558.70 -560.59 === === === === === === === === === === -640.77 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -501.70 === === === === === === === === === === -570.95 === === === === === === === === === === -649.60 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -507.91 -511.88 -520.85 === -527.40 === === === === === === -572.89 === === === === === === === === === === -654.21 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -520.41 -524.85 -531.25 === === === === === === === === === === === === === === === -635.07 === === -656.81 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -527.38 -526.96 -542.94 === === === === === === === === === === === === === === === === === === -666.48 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -541.29 -545.55 -551.41 === === === === === === === === === === === === === === === === === -668.74 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -546.10 -550.41 === -563.36 === === === === === === -611.41 === === === === === === === === === -677.02 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -556.99 -565.08 === === === === === === === -613.05 -614.09 -623.62 -629.49 === === === === === -670.43 -679.48 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -566.40 -573.08 === === === === === === === === === === -639.25 === === === === === === -686.75 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -582.35 -582.74 === === === === === === === === === -643.94 -652.46 === === === === === -691.92 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -658.49 -669.55 === === === === -698.28 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -673.21 -674.17 === === === -709.36 === 
=== === -491.25 -492.90 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -690.12 -689.23 === === -711.80 === 
=== === -501.98 -498.20 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -721.99 === 
=== === -511.68 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -681.60 === -697.90 === -711.84 === -727.15 === 
=== === -521.10 -521.00 -521.03 === === === === === -520.03 -519.63 === -520.40 -522.92 -524.77 -526.10 -527.96 -526.29 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -645.35 -647.37 -654.89 -657.52 -666.74 === === === === -696.12 -701.24 -701.84 -716.18 -715.64 -720.02 -729.74 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
