-539.47 === -147.50 -140.33 -145.48 === === === === === === === === === === === === -312.98 -323.68 -336.07 -366.61 -387.21 -391.52 -417.55 -431.03 -459.83 -483.77 -487.92 -505.96 -528.31 
=== === === === -165.26 -165.11 === === === === === === === === === === === === -334.70 -350.30 -376.47 -390.08 -411.23 -426.83 -441.31 -467.16 -486.41 -494.81 -508.17 -527.75 
-555.64 === === === -185.31 === === === === === === -255.18 -259.47 -273.10 -273.21 -306.61 === === -349.87 -362.22 -377.22 -402.44 -412.90 -440.84 -451.69 -474.18 -490.88 -503.74 -513.45 -552.95 
-564.51 -217.92 -218.89 === === === === === === === === -266.65 === === === -312.97 === === === -377.50 -385.78 -414.68 -426.06 -445.33 -464.80 -481.75 -490.53 === -539.39 -555.32 
=== -233.06 -229.07 === -232.77 === === === === === === -270.92 === === === === -336.88 -351.52 -366.12 === -403.21 -420.78 -438.78 -452.16 -469.48 -475.84 === -530.34 -533.67 -561.30 
=== -243.85 -255.07 === -250.12 === === === === === -284.44 -279.88 === === === === === -368.71 -376.20 === -419.13 -435.67 -444.32 -461.27 -474.09 === === -536.42 === -578.42 
=== === -276.57 === === === === === === === -306.80 === === === === === -368.98 === -387.43 -410.63 === -440.86 -455.15 -468.14 -490.90 -504.39 -523.71 === === -578.10 
=== -297.03 === -286.79 === === === === === -320.97 -315.09 === === === === === === -392.52 -413.58 -415.06 -440.87 -453.42 -456.78 === -495.81 === === -554.05 === -580.00 
=== === -315.83 -301.92 === === === === === === === === === === === === === === -431.01 -443.93 -452.77 === -475.05 -486.66 -517.73 -524.12 -543.29 === === -599.12 
=== -340.83 -340.39 -328.43 -335.09 === === === === -346.19 === === === === === === === === -437.06 -457.60 -456.99 -482.26 -497.41 === === -547.63 -551.52 === === -611.16 
=== -355.27 -343.87 -343.14 === === === === -363.58 === === === === === === === === === -465.37 -462.94 -485.64 -496.13 -506.48 -517.16 === === === === === === 
=== === -362.75 === === -362.13 -374.28 === === === === === === === === === === === === === -487.15 -498.63 -525.57 === === === -581.55 === -607.15 -629.86 
=== === === === === -392.03 === === === === === === === === === === === === === -505.63 -515.72 -527.61 -546.97 -546.83 === === === === -636.29 -636.71 
-657.98 === === === === -401.55 === === === === === === === === === === === === -494.54 === -529.21 -548.22 -546.17 -561.91 -581.23 -589.15 === -620.20 === -660.40 
-671.06 === === === -438.63 -439.61 === === === === === === === === === === === === === === -547.42 -554.59 -563.39 -591.10 === -609.67 === === === -660.37 
-689.65 === === === -446.48 -442.04 -462.39 -463.87 -467.93 -468.41 -469.00 === -488.97 -488.78 === -512.52 === === -541.14 === === -563.58 -583.58 === === -622.15 === === === -689.15 
-697.35 === === -473.80 === === === === -473.05 -483.35 === === === === === === === === === -570.38 -572.97 -591.20 -592.23 -611.25 === === === === -679.02 -697.16 
-709.71 -486.37 -499.38 === === === === === === === === === === === === === === === === === -582.99 === -614.00 -631.21 -639.48 === === -690.73 -686.59 -701.89 
-729.04 -509.88 -515.88 -518.95 === === === -506.50 -525.22 -527.42 === === === === === === === === -592.24 -595.66 -607.47 -621.07 -635.71 -646.16 -659.60 -656.71 -684.47 -692.49 -713.86 -725.52 
