## Generation 0 
{'robot_pos': [16.749731063842773, 474.86883544921875, -1.2400667667388916], 'collision': 121, 'exit_reached': 0.0, 'dist_obj': -417.11717345374416}
## Generation 42 
{'robot_pos': [64.5545654296875, 452.6071472167969, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -392.6335646782696}
## Generation 43 
{'robot_pos': [170.86444091796875, 474.8040466308594, 0.3868013918399811], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -429.3638566081103}
## Generation 44 
{'robot_pos': [16.73160743713379, 511.235595703125, 2.0766239166259766], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -453.30532384313375}
## Generation 45 
{'robot_pos': [62.6072883605957, 454.554443359375, 1.3163856267929077], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -394.5630579859467}
## Generation 46 
{'robot_pos': [64.5545654296875, 452.6071472167969, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -392.6335646782696}
## Generation 47 
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 48 
{'robot_pos': [16.794939041137695, 363.79339599609375, -1.751840353012085], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -306.85029695813955}
## Generation 49 
{'robot_pos': [64.5545654296875, 452.6071472167969, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -392.6335646782696}
## Generation 50 
{'robot_pos': [67.56965637207031, 432.9375, -3.083137273788452], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -373.01431420770064}
## Generation 51 
{'robot_pos': [39.915225982666016, 472.4383850097656, -0.2646459937095642], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -412.9271359172112}
## Generation 52 
{'robot_pos': [74.97990417480469, 436.80908203125, -2.229041814804077], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -377.10672472168886}
## Generation 53 
{'robot_pos': [64.5545654296875, 452.6071472167969, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -392.6335646782696}
## Generation 54 
{'robot_pos': [57.719581604003906, 439.3865661621094, 1.9329044818878174], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -379.3934196745344}
## Generation 55 
{'robot_pos': [17.188182830810547, 464.708984375, 2.5427849292755127], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -406.96709169559654}
## Generation 56 
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 57 
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 58 
{'robot_pos': [55.44542694091797, 447.392822265625, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -387.4195953726097}
## Generation 59 
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 60 
{'robot_pos': [190.01817321777344, 580.048095703125, 0.8587832450866699], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.0547987018991}
## Generation 61 
{'robot_pos': [64.5545654296875, 452.6071472167969, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -392.6335646782696}
## Generation 62 
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 63 
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 64 
{'robot_pos': [64.10322570800781, 452.6058349609375, 0.2699306309223175], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -392.6272763150642}
## Generation 65 
{'robot_pos': [17.933034896850586, 451.54498291015625, -2.686403274536133], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -393.7983026818477}
## Generation 66 
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 67 
{'robot_pos': [39.44026184082031, 316.7776794433594, 2.2126715183258057], 'collision': 346, 'exit_reached': 0.0, 'dist_obj': -257.59945553803226}
## Generation 68 
{'robot_pos': [17.84018325805664, 391.17803955078125, -2.5571064949035645], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -333.8507810810289}
## Generation 69 
{'robot_pos': [242.8815155029297, 537.5477294921875, 0.16110201179981232], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -511.3682456467079}
## Generation 70 
{'robot_pos': [170.88201904296875, 579.7603759765625, 1.5529810190200806], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -531.4561793622715}
## Generation 71 
{'robot_pos': [51.94807434082031, 465.37158203125, 2.8975906372070312], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -405.45154214201654}
## Generation 72 
{'robot_pos': [16.95842170715332, 268.4839172363281, -1.9454050064086914], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -212.8805327129359}
## Generation 73 
{'robot_pos': [60.0, 450.0, 0.7853981852531433], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 74 
{'robot_pos': [55.4454345703125, 447.3928527832031, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -387.41962579838645}
## Generation 75 
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 76 
{'robot_pos': [166.19635009765625, 580.4510498046875, 3.090043067932129], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -531.1750747323008}
## Generation 77 
{'robot_pos': [17.299192428588867, 453.06109619140625, -2.5734262466430664], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -395.3737273851673}
## Generation 78 
{'robot_pos': [70.2596435546875, 549.2981567382812, 1.7732956409454346], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -489.40570743846956}
## Generation 79 
{'robot_pos': [16.732885360717773, 363.79901123046875, -1.7457690238952637], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -306.86459951225925}
## Generation 80 
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
## Generation 81 
